key,section,title,published,tg_channels,tg_first_post,naipv2,naipv1,scijudge_bt,dgcbert_p,cr8b_rating,cr8b_decision,cr70b_rating,cr70b_decision,dr7b_rating,dr7b_decision,dr7bf_rating,dr7bf_decision,dr14b_rating,dr14b_decision,or8b_rating,or8b_soundness,or8b_presentation,or8b_contribution,seae_rating,seae_decision,mean_rating10,accept_votes,n_models,rank_avg,rank_in_year
openreview:XyGJJ4FPoX,Reinforcement learning,Meta-Reinforcement Learning with Zero-Shot RL,,j_links,2026-07-26,-3.945,0.472,-3.924,0.1828,4.500,Reject,,,5.000,Reject,5.670,Reject,4.250,Reject,5.000,2.000,3.000,2.000,4.000,Reject,4.684,0,6,17.4971,12.0000
openreview:OpC-9aBBVJe,Reinforcement learning,"Sample-Efficient RL by Breaking the Replay Ratio Barrier (ICLR 2023, precursor of BBF)",,knowledge_accumulator,2024-07-02,-1.396,0.698,1.251,0.0163,6.000,Accept,,,5.750,Accept,5.750,Accept,6.500,Accept,6.000,3.000,4.000,3.000,6.000,Accept,6.050,5,6,49.7135,3.0000
arxiv:2205.07802,Reinforcement learning,The Primacy Bias in Deep Reinforcement Learning,2022-05-16,j_links;knowledge_accumulator,2022-05-24,-1.850,0.358,-3.554,0.8552,4.750,Reject,,,6.000,Accept,6.500,Accept,6.250,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.100,5,6,47.9271,13.0000
arxiv:2106.06860,Reinforcement learning,A Minimalist Approach to Offline Reinforcement Learning,2021-06-12,AGI_and_RL,2025-03-10,-3.971,0.426,1.049,0.6851,3.750,Reject,,,3.500,Reject,4.250,Reject,5.000,Reject,6.000,3.000,3.000,2.000,6.000,Accept,5.000,3,6,26.5085,10.0000
arxiv:2011.14826,Reinforcement learning,Revisiting Rainbow: Promoting more Insightful and Inclusive Deep Reinforcement Learning Research,2020-11-20,,,-3.248,0.415,-3.891,0.3971,3.000,Reject,,,5.000,Reject,5.250,Reject,4.750,Reject,3.000,3.000,2.000,2.000,6.000,Accept,4.400,1,6,17.8311,10.0000
arxiv:2005.01643,Reinforcement learning,"Offline Reinforcement Learning: Tutorial, Review, and Perspectives on Open Problems",2020-05-04,gonzo_ML;j_links,2020-05-07,-4.117,0.684,2.038,0.0602,3.000,Reject,,,4.000,Reject,5.670,Reject,4.330,Reject,5.000,3.000,2.000,2.000,3.000,Reject,4.200,0,6,23.4577,8.0000
arxiv:2004.12919,Reinforcement learning,"First return, then explore",2020-04-27,j_links,2020-04-29,-0.674,0.851,2.038,0.7400,2.500,Reject,,,6.000,Accept,7.330,Accept,6.250,Accept,8.000,3.000,3.000,3.000,7.000,Accept,6.216,5,6,67.1098,2.0000
arxiv:1910.01708,Reinforcement learning,Benchmarking Batch Deep Reinforcement Learning Algorithms,2019-10-03,AGI_and_RL,2025-03-10,-2.742,0.356,-0.785,0.7873,3.000,Reject,,,3.000,Reject,3.500,Reject,3.500,Reject,5.000,2.000,3.000,2.000,6.000,Accept,4.200,2,6,19.1229,4.0000
arxiv:1802.09477,Reinforcement learning,Addressing Function Approximation Error in Actor-Critic Methods,2018-02-26,AGI_and_RL,2025-03-10,-3.898,0.363,-0.461,0.8885,5.000,Reject,,,,,,,,,3.000,2.000,2.000,2.000,5.000,Reject,4.333,1,4,26.7520,3.0000
arxiv:1801.01290,Reinforcement learning,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,2018-01-04,gonzo_ML,2025-11-28,-3.234,0.771,1.989,0.9145,6.000,Accept,,,6.250,Accept,7.500,Accept,5.670,Accept,5.000,3.000,3.000,2.000,8.000,Accept,6.434,5,6,68.2036,1.0000
arxiv:1712.06567,Reinforcement learning,Deep Neuroevolution: Genetic Algorithms Are a Competitive Alternative for Training Deep Neural Networks for Reinforcement Learning,2017-12-18,,,-0.830,0.779,-2.734,0.4509,6.000,Reject,,,5.750,Reject,5.750,Accept,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.350,4,6,60.0854,1.0000
arxiv:1710.02298,Reinforcement learning,Rainbow: Combining Improvements in Deep Reinforcement Learning,2017-10-06,j_links;knowledge_accumulator,2017-10-10,-3.051,0.667,2.473,0.8808,5.750,Reject,,,5.500,Reject,5.500,Reject,5.000,Reject,6.000,3.000,3.000,3.000,6.000,Accept,5.650,3,6,51.0464,3.0000
arxiv:1707.06887,Reinforcement learning,A Distributional Perspective on Reinforcement Learning,2017-07-21,j_links;knowledge_accumulator,2017-07-24,-2.482,0.682,2.160,0.8907,5.750,Reject,,,4.500,Accept,5.750,Accept,6.670,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.034,5,6,55.7208,2.0000
arxiv:1511.06581,Reinforcement learning,Dueling Network Architectures for Deep Reinforcement Learning,2015-11-20,knowledge_accumulator,2024-07-02,-4.504,0.628,-0.007,0.8395,4.750,Reject,,,6.000,Accept,6.670,Accept,5.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,5.884,5,6,53.1030,1.0000
arxiv:1511.05952,Reinforcement learning,Prioritized Experience Replay,2015-11-18,AGI_and_RL;knowledge_accumulator,2021-01-15,-1.875,0.706,2.060,0.9104,4.000,Reject,,,4.750,Reject,4.750,Reject,5.000,Accept,8.000,4.000,4.000,4.000,6.000,Accept,5.550,4,6,49.9593,2.0000
arxiv:1509.06461,Reinforcement learning,Deep Reinforcement Learning with Double Q-learning,2015-09-22,knowledge_accumulator,2024-07-02,-2.979,0.721,-0.671,0.8899,5.500,Reject,,,6.000,Accept,6.000,Reject,4.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.500,4,6,49.0271,3.0000
arxiv:2608.13040,Post-training,Latent On-Policy Self-Distillation,2026-08-13,,,-0.950,0.536,-2.097,0.8423,5.000,Reject,,,6.500,Accept,7.000,Accept,6.500,Accept,6.000,3.000,4.000,3.000,6.000,Accept,6.100,5,6,56.3806,37.0000
arxiv:2608.09888,Post-training,BDH-CQ: In-Context Learning with Recurrent Latent Reasoning,2026-08-10,axisofordinary,2026-08-13,-0.529,0.629,-3.334,0.4113,5.250,Reject,,,5.000,Reject,4.250,Reject,5.670,Reject,6.000,3.000,3.000,3.000,6.000,Accept,5.434,2,6,38.9668,65.0000
arxiv:2607.07847,Post-training,When Does Continual Learning Require Learning,2026-07-08,gonzo_ML,2026-07-27,-0.608,0.653,1.443,0.3824,5.000,Reject,,,4.750,Reject,6.000,Accept,6.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.900,4,6,50.4056,53.0000
arxiv:2607.05609,Post-training,To Retain or to Adapt? Generalizing Continual Learning,2026-07-06,gonzo_ML,2026-07-28,0.292,0.529,-2.818,0.8249,6.000,Accept,,,7.000,Accept,6.000,Reject,6.500,Reject,6.000,3.000,3.000,3.000,6.000,Accept,6.100,4,6,59.7685,30.0000
arxiv:2606.23740,Post-training,Weight-Space Geometry of Offline Reasoning Training,2026-06-21,lovedeathtransformers,2026-07-09,0.401,0.346,0.405,0.0743,4.000,Reject,,,5.250,Reject,4.750,Reject,6.500,Reject,6.000,3.000,3.000,3.000,6.000,Accept,5.450,2,6,36.5490,67.0000
arxiv:2606.18810,Post-training,Learning from Own Solutions: Self-Conditioned Credit Assignment for Reinforcement Learning with Verifiable Rewards,2026-06-17,,,-1.278,0.505,-3.719,0.1597,5.500,Reject,,,6.000,Reject,6.500,Accept,7.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.300,4,6,49.5496,55.0000
arxiv:2606.06021,Post-training,OPRD: On-Policy Representation Distillation,2026-06-04,,,3.092,0.698,0.898,0.9154,5.750,Reject,,,6.750,Accept,6.000,Reject,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.350,4,6,76.1156,2.0000
arxiv:2605.22074,Post-training,From Reasoning Chains to Verifiable Subproblems: Curriculum Reinforcement Learning Enables Credit Assignment for LLM Reasoning,2026-05-21,,,-0.527,0.638,1.754,0.9070,6.000,Accept,,,6.200,Accept,7.000,Accept,5.750,Reject,6.000,3.000,3.000,3.000,7.000,Accept,6.350,5,6,69.8357,9.0000
arxiv:2605.12969,Post-training,Revisiting Reinforcement Learning with Verifiable Rewards from a Contrastive Perspective,2026-05-13,,,0.069,0.457,-2.193,0.9432,5.750,Reject,,,6.500,Accept,7.000,Accept,7.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.450,5,6,64.9378,21.0000
arxiv:2605.06241,Post-training,"Rethinking RL for LLM Reasoning: It's Sparse Policy Selection, Not Capability Learning",2026-05-07,j_links,2026-08-17,0.688,0.633,3.496,0.1633,5.750,Reject,,,7.000,Accept,7.500,Accept,7.500,Accept,8.000,3.000,4.000,3.000,7.000,Accept,7.150,4,6,80.6330,1.0000
arxiv:2604.20659,Post-training,GRPO-VPS: Enhancing Group Relative Policy Optimization with Verifiable Process Supervision for Effective Reasoning,2026-04-22,,,-1.234,0.453,-1.101,0.6972,5.000,Reject,,,6.250,Accept,5.750,Reject,7.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.950,4,6,48.2039,56.0000
arxiv:2604.13016,Post-training,"Rethinking On-Policy Distillation of Large Language Models: Phenomenology, Mechanism, and Recipe",2026-04-14,,,0.490,0.563,0.207,0.8523,6.000,Accept,,,7.000,Accept,7.500,Accept,6.000,Reject,6.000,3.000,3.000,3.000,6.000,Accept,6.300,5,6,66.0189,15.0000
arxiv:2604.08690,Post-training,Skip-Connected Policy Optimization for Implicit Advantage,2026-04-09,,,-0.349,0.353,-3.046,0.8860,5.500,Reject,,,6.500,Accept,7.500,Accept,6.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.500,5,6,61.7001,26.0000
arxiv:2604.02288,Post-training,Unifying Group-Relative and Self-Distillation Policy Optimization via Sample Routing,2026-04-02,,,0.539,0.620,2.061,0.8479,6.000,Accept,,,5.750,Reject,6.000,Accept,6.500,Accept,5.000,3.000,3.000,2.000,6.000,Accept,5.900,5,6,59.6641,31.0000
arxiv:2604.01375,Post-training,RIFT: A RubrIc Failure Mode Taxonomy and Automated Diagnostics,2026-04-01,,,-1.389,0.541,-0.397,0.3090,5.000,Reject,,,6.500,Accept,6.250,Reject,5.750,Reject,6.000,3.000,3.000,3.000,6.000,Accept,5.800,2,6,46.2413,57.0000
arxiv:2603.25562,Post-training,Revisiting On-Policy Distillation: Empirical Failure Modes and Simple Fixes,2026-03-26,,,-0.349,0.660,0.503,0.8703,4.250,Reject,,,5.250,Reject,5.750,Accept,7.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.800,5,6,53.9296,44.0000
arxiv:2603.24472,Post-training,Why Does Self-Distillation (Sometimes) Degrade the Reasoning Capability of LLMs?,2026-03-25,,,-0.968,0.561,1.424,0.2509,5.000,Reject,,,5.500,Reject,5.750,Reject,5.750,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.700,3,6,43.3441,61.0000
arxiv:2602.18037,Post-training,Gradient Regularization Mitigates Reward Hacking in Reinforcement Learning from Human Feedback and Verifiable Rewards,2026-02-20,j_links,2026-02-25,-1.482,0.387,1.787,0.8280,5.000,Reject,,,8.000,Accept,6.500,Reject,6.500,Accept,5.000,3.000,3.000,3.000,7.000,Accept,6.000,3,6,56.3633,38.0000
arxiv:2602.09000,Post-training,iGRPO: Self-Feedback-Driven LLM Reasoning,2026-02-09,axisofordinary,2026-02-11,-1.219,0.502,3.180,0.9116,5.000,Reject,,,6.500,Accept,5.500,Reject,6.500,Accept,5.000,3.000,3.000,2.000,6.000,Accept,5.600,3,6,52.5513,48.0000
arxiv:2601.20861,Post-training,Evolutionary Strategies lead to Catastrophic Forgetting in LLMs,2026-01-28,gonzo_ML,2026-02-03,-2.814,0.345,-2.096,0.0378,6.000,Accept,,,5.500,Reject,5.670,Accept,4.000,Reject,5.000,2.000,3.000,2.000,5.000,Accept,5.134,3,6,24.0752,71.0000
arxiv:2601.20802,Post-training,Reinforcement Learning via Self-Distillation,2026-01-28,gonzo_ML,2026-02-01,-0.924,0.584,3.395,0.9125,5.250,Reject,,,6.500,Accept,6.500,Accept,7.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.150,5,6,68.3674,10.0000
arxiv:2601.19897,Post-training,Self-Distillation Enables Continual Learning,2026-01-27,axisofordinary;gonzo_ML,2026-02-01,-1.568,0.601,2.262,0.9237,6.000,Accept,,,5.750,Reject,6.250,Accept,6.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.050,6,6,59.5421,32.0000
arxiv:2601.18734,Post-training,Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,2026-01-26,,,1.841,0.656,0.972,0.8126,5.000,Reject,,,6.250,Reject,6.670,Accept,6.000,Accept,8.000,3.000,3.000,3.000,6.000,Accept,6.334,5,6,66.4469,13.0000
arxiv:2601.16175,Post-training,Learning to Discover at Test Time,2026-01-22,gonzo_ML;j_links,2026-01-27,-0.401,0.564,3.644,0.0300,6.000,Accept,,,6.250,Accept,5.750,Accept,8.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.550,5,6,65.9194,16.0000
arxiv:2601.14525,Post-training,Towards Execution-Grounded Automated AI Research,2026-01-20,gonzo_ML,2026-01-28,-0.429,0.485,2.164,0.5717,4.500,Reject,,,5.500,Reject,6.000,Accept,6.500,Accept,8.000,3.000,4.000,3.000,6.000,Accept,6.200,5,6,53.8128,45.0000
arxiv:2601.11061,Post-training,Spurious Rewards Paradox: Mechanistically Understanding How RLVR Activates Memorization Shortcuts in LLMs,2026-01-16,buckwheat_thoughts;gonzo_ML;j_links,2026-02-02,2.123,0.655,2.783,0.6663,6.000,Accept,,,7.000,Accept,7.000,Accept,6.500,Reject,6.000,3.000,3.000,2.000,6.000,Accept,6.300,5,6,73.0870,5.0000
arxiv:2512.02807,Post-training,SR-GRPO: Stable Rank as an Intrinsic Geometric Reward for Large Language Model Alignment,2025-12-02,tech_priestess,2025-12-16,-0.412,0.616,0.117,0.9037,5.000,Reject,,,6.500,Accept,6.500,Accept,6.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.000,5,6,61.5615,28.0000
arxiv:2512.00499,Post-training,ESPO: Entropy Importance Sampling Policy Optimization,2025-11-29,,,-0.965,0.544,-4.422,0.8836,5.500,Reject,,,6.000,Accept,7.500,Accept,6.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.200,5,6,53.7021,46.0000
arxiv:2511.20347,Post-training,Soft Adaptive Policy Optimization,2025-11-25,,,-0.818,0.581,-1.591,0.8194,5.750,Reject,,,6.000,Accept,6.000,Reject,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.350,4,6,60.6771,32.0000
arxiv:2511.07317,Post-training,RLVE: Scaling Up Reinforcement Learning for Language Models with Adaptive Verifiable Environments,2025-11-10,,,-0.931,0.519,-0.278,0.5470,5.000,Reject,,,6.250,Reject,6.750,Accept,7.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.450,5,6,61.1923,31.0000
arxiv:2510.14901,Post-training,Reasoning with Sampling: Your Base Model is Smarter Than You Think,2025-10-16,,,-1.463,0.513,1.057,0.8853,5.750,Reject,,,6.000,Accept,7.000,Accept,6.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.450,5,6,63.2467,20.0000
arxiv:2510.13786,Post-training,The Art of Scaling Reinforcement Learning Compute for LLMs,2025-10-15,axisofordinary;lovedeathtransformers,2025-10-16,0.044,0.693,1.318,0.8523,6.000,Accept,,,8.000,Accept,6.750,Accept,6.000,Reject,6.000,3.000,3.000,3.000,7.000,Accept,6.350,5,6,74.2824,5.0000
arxiv:2510.00977,Post-training,It Takes Two: Your GRPO Is Secretly DPO,2025-10-01,dealerAI,2025-10-03,-0.455,0.411,-2.651,0.6141,5.250,Reject,,,6.250,Accept,4.750,Reject,6.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.700,4,6,44.3287,65.0000
arxiv:2509.25123,Post-training,From $f(x)$ and $g(x)$ to $f(g(x))$: LLMs Learn New Skills in RL by Composing Old Ones,2025-09-29,axisofordinary,2025-10-01,-0.188,0.603,-0.882,0.4169,6.000,Accept,,,6.000,Accept,4.250,Reject,6.500,Accept,6.000,3.000,3.000,2.000,6.000,Accept,5.750,4,6,50.6640,53.0000
arxiv:2509.13232,Post-training,Single-stream Policy Optimization,2025-09-16,,,-0.961,0.567,1.330,0.9473,5.000,Reject,,,4.000,Reject,7.000,Accept,6.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.000,5,6,54.1541,44.0000
arxiv:2509.03646,Post-training,Emergent Hierarchical Reasoning in LLMs through Reinforcement Learning,2025-09-03,axisofordinary;tech_priestess,2025-09-10,-0.492,0.669,-0.405,0.8712,5.000,Reject,,,6.250,Reject,5.500,Reject,6.000,Reject,6.000,3.000,3.000,3.000,7.000,Accept,5.900,3,6,57.6341,41.0000
arxiv:2508.07629,Post-training,Klear-Reasoner: Advancing Reasoning Capability via Gradient-Preserving Clipping Policy Optimization,2025-08-11,,,-1.587,0.330,0.493,0.0489,6.000,Accept,,,,,5.250,Reject,6.000,Reject,6.000,3.000,3.000,3.000,6.000,Accept,5.850,3,6,37.5941,69.0000
arxiv:2508.05629,Post-training,On the Generalization of SFT: A Reinforcement Learning Perspective with Reward Rectification,2025-08-07,abstractDL;buckwheat_thoughts,2025-08-30,1.032,0.536,-2.207,0.9499,5.500,Reject,,,6.400,Accept,7.000,Accept,6.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.400,5,6,67.7986,12.0000
arxiv:2507.19457,Post-training,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,2025-07-25,axisofordinary;gonzo_ML,2025-07-31,2.922,0.504,0.575,0.5185,5.250,Reject,,,6.500,Accept,6.500,Accept,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.350,5,6,66.8003,14.0000
arxiv:2507.18071,Post-training,Group Sequence Policy Optimization,2025-07-24,data_secrets;dealerAI,2025-07-28,-1.184,0.424,1.292,0.8751,4.250,Reject,,,7.000,Accept,4.750,Reject,6.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.500,4,6,47.9235,59.0000
arxiv:2506.13585,Post-training,MiniMax-M1: Scaling Test-Time Compute Efficiently with Lightning Attention,2025-06-16,,,1.191,0.258,3.205,0.3057,4.750,Reject,,,6.000,Accept,5.500,Reject,8.000,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.050,3,6,52.3086,49.0000
arxiv:2506.06632,Post-training,Curriculum Reinforcement Learning from Easy to Hard Tasks Improves LLM Reasoning,2025-06-07,,,1.160,0.422,0.002,0.8324,4.500,Reject,,,5.250,Reject,6.500,Accept,6.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,5.900,5,6,50.2429,54.0000
arxiv:2506.03106,Post-training,Critique-GRPO: Advancing LLM Reasoning with Natural Language and Numerical Feedback,2025-06-03,,,1.530,0.635,1.974,0.9093,6.000,Accept,,,6.500,Accept,6.000,Accept,7.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.500,6,6,77.7317,2.0000
arxiv:2506.01939,Post-training,Beyond the 80/20 Rule: High-Entropy Minority Tokens Drive Effective Reinforcement Learning for LLM Reasoning,2025-06-02,axisofordinary;tech_priestess,2025-06-05,-1.289,0.601,1.841,0.2754,5.000,Reject,,,6.500,Accept,5.750,Reject,7.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.250,3,6,60.0023,35.0000
arxiv:2505.19590,Post-training,Learning to Reason without External Rewards,2025-05-26,axisofordinary;gonzo_ML,2025-05-29,1.556,0.594,1.122,0.8223,4.000,Reject,,,6.250,Reject,4.750,Reject,6.000,Accept,5.000,3.000,3.000,2.000,7.000,Accept,5.350,3,6,51.6698,50.0000
arxiv:2505.10978,Post-training,Group-in-Group Policy Optimization for LLM Agent Training,2025-05-16,,,0.338,0.675,1.363,0.8881,6.000,Accept,,,7.000,Accept,6.000,Accept,6.670,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.334,6,6,75.1323,4.0000
arxiv:2504.16084,Post-training,TTRL: Test-Time Reinforcement Learning,2025-04-22,gonzo_ML,2025-10-23,1.952,0.403,2.112,0.9477,4.500,Reject,,,5.500,Reject,6.000,Accept,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.100,5,6,62.0109,25.0000
arxiv:2504.13837,Post-training,Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,2025-04-18,AGI_and_RL;abstractDL;boris_again;data_secrets;gonzo_ML;lovedeathtransformers,2025-04-21,-1.139,0.544,1.785,0.7418,5.000,Reject,,,5.500,Reject,6.500,Accept,6.500,Accept,5.000,2.000,3.000,2.000,6.000,Accept,5.800,4,6,50.0003,56.0000
arxiv:2503.20783,Post-training,Understanding R1-Zero-Like Training: A Critical Perspective,2025-03-26,,,1.818,0.442,2.446,0.4475,4.500,Reject,,,6.000,Accept,6.500,Accept,7.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.200,4,6,61.6134,26.0000
arxiv:2503.14476,Post-training,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,2025-03-18,AGI_and_RL;axisofordinary,2025-03-19,-1.369,0.501,2.191,0.1602,6.000,Accept,,,4.000,Reject,5.000,Reject,6.000,Reject,6.000,3.000,3.000,3.000,7.000,Accept,6.000,3,6,46.5087,63.0000
arxiv:2503.02875,Post-training,The First Few Tokens Are All You Need: An Efficient and Effective Unsupervised Prefix Fine-Tuning Method for Reasoning Models,2025-03-04,axisofordinary;data_secrets,2025-03-05,-1.960,0.596,3.143,0.8174,5.500,Reject,,,5.750,Reject,5.750,Reject,6.500,Reject,6.000,3.000,3.000,3.000,7.000,Accept,6.150,3,6,58.9502,39.0000
arxiv:2503.00735,Post-training,LADDER: Self-Improving LLMs Through Recursive Problem Decomposition,2025-03-02,AGI_and_RL;axisofordinary,2025-03-07,-0.900,0.600,3.585,0.7306,6.000,Accept,,,6.000,Reject,6.000,Reject,6.000,Reject,6.000,3.000,3.000,3.000,6.000,Accept,6.000,4,6,59.8308,36.0000
arxiv:2402.13669,Post-training,Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,2024-02-21,,,0.723,0.570,1.364,0.9094,5.500,Reject,,,4.250,Reject,6.000,Accept,6.670,Accept,8.000,3.000,3.000,3.000,6.000,Accept,6.434,5,6,62.2799,4.0000
arxiv:2402.03300,Post-training,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,2024-02-05,AGI_and_RL;MLResearch;axisofordinary;buckwheat_thoughts;data_secrets;gonzo_ML,2024-02-13,-1.261,0.440,3.477,0.8594,6.000,Accept,,,5.500,Reject,5.500,Reject,7.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.200,5,6,57.1095,13.0000
arxiv:2303.17651,Post-training,Self-Refine: Iterative Refinement with Self-Feedback,2023-03-30,gonzo_ML,2023-04-17,-2.209,0.704,4.059,0.8507,6.000,Accept,,,5.000,Reject,5.750,Accept,6.000,Accept,6.000,3.000,3.000,3.000,7.000,Accept,6.150,6,6,60.6894,8.0000
arxiv:2608.11676,"LLMs: architectures, context, training",XBridge: Entity-Grounded Latent Bridge for Heterogeneous LLM Communication,2026-08-12,,,-0.440,0.609,-3.182,0.2091,6.000,Reject,,,7.000,Accept,5.670,Accept,7.500,Accept,6.000,3.000,3.000,3.000,6.000,Accept,6.234,4,6,56.6228,35.0000
arxiv:2608.03893,"LLMs: architectures, context, training",Cross-Model KV Cache Transfer in LLM Families: A Closed-Form Linear Mapping for Prefill Reuse,2026-08-04,lovedeathtransformers,2026-08-26,-0.026,0.437,-0.487,0.0665,3.000,Reject,,,6.500,Accept,6.500,Accept,6.500,Accept,6.000,3.000,3.000,3.000,7.000,Accept,5.800,4,6,50.5597,52.0000
